model,epoch,learning_rate,train_loss,train_top1,validation_loss,validation_top1,validation_top3,validation_top5,validation_top10
gomoku_cnn_default,1,0.001,2.4931,0.3162,2.0581,0.3877,0.6716,0.7796,0.8972
gomoku_cnn_default,2,0.001,1.8821,0.4368,1.8475,0.4479,0.7146,0.8169,0.9183
gomoku_cnn_default,3,0.001,1.7281,0.4769,1.7757,0.4541,0.7457,0.8427,0.9264
gomoku_cnn_default,4,0.001,1.6241,0.504,1.6503,0.4976,0.762,0.8475,0.9379
gomoku_cnn_default,5,0.001,1.5649,0.5166,1.5845,0.5229,0.7648,0.8451,0.9307
gomoku_cnn_default,6,0.001,1.515,0.5355,1.4988,0.532,0.7925,0.8628,0.9374
gomoku_cnn_default,7,0.001,1.4717,0.5471,1.5171,0.5339,0.7887,0.869,0.9417
gomoku_cnn_default,8,0.001,1.4255,0.5565,1.456,0.5502,0.7983,0.8652,0.9426
gomoku_cnn_default,9,0.001,1.3949,0.5671,1.4367,0.5578,0.8002,0.8685,0.9446
gomoku_cnn_default,10,0.001,1.3513,0.5808,1.4098,0.5688,0.8026,0.8733,0.9426
gomoku_cnn_default,11,0.001,1.3314,0.5829,1.5101,0.5421,0.7825,0.8518,0.9369
gomoku_cnn_default,12,0.001,1.304,0.5932,1.3741,0.5789,0.8016,0.8705,0.9512
gomoku_cnn_default,13,0.001,1.2758,0.6072,1.3715,0.5837,0.8059,0.8685,0.9422
gomoku_cnn_default,14,0.001,1.2578,0.6081,1.3777,0.5707,0.7978,0.8705,0.9484
gomoku_cnn_default,15,0.001,1.2177,0.6221,1.3326,0.5817,0.8188,0.881,0.946
gomoku_cnn_default,16,0.001,1.2209,0.6207,1.3844,0.5736,0.8155,0.8786,0.945
gomoku_cnn_default,17,0.001,1.1998,0.6263,1.3199,0.5985,0.8112,0.8757,0.9489
gomoku_cnn_default,18,0.001,1.1884,0.626,1.3467,0.6028,0.8078,0.8738,0.9474
gomoku_cnn_default,19,0.001,1.1651,0.6386,1.3097,0.6133,0.8141,0.8767,0.9446
gomoku_cnn_default,20,0.001,1.1519,0.6414,1.2905,0.6099,0.8145,0.8838,0.9517
gomoku_cnn_epoch_10,1,0.001,2.4931,0.3162,2.0581,0.3877,0.6716,0.7796,0.8972
gomoku_cnn_epoch_10,2,0.001,1.8821,0.4368,1.8475,0.4479,0.7146,0.8169,0.9183
gomoku_cnn_epoch_10,3,0.001,1.7281,0.4769,1.7757,0.4541,0.7457,0.8427,0.9264
gomoku_cnn_epoch_10,4,0.001,1.6241,0.504,1.6503,0.4976,0.762,0.8475,0.9379
gomoku_cnn_epoch_10,5,0.001,1.5649,0.5166,1.5845,0.5229,0.7648,0.8451,0.9307
gomoku_cnn_epoch_10,6,0.001,1.515,0.5355,1.4988,0.532,0.7925,0.8628,0.9374
gomoku_cnn_epoch_10,7,0.001,1.4717,0.5471,1.5171,0.5339,0.7887,0.869,0.9417
gomoku_cnn_epoch_10,8,0.001,1.4255,0.5565,1.456,0.5502,0.7983,0.8652,0.9426
gomoku_cnn_epoch_10,9,0.001,1.3949,0.5671,1.4367,0.5578,0.8002,0.8685,0.9446
