model,epochs,best_validation_top1,test_loss,test_top1,test_top3,test_top5,test_top10,battle_win_rate,battle_loss_rate,battle_draw_rate,average_turns,seconds_per_game
gomoku_cnn_default,20,0.6133,1.3675,0.5854,0.8078,0.8817,0.9437,0.971,0.028999999999999998,0.0,15.53,0.0517
gomoku_cnn_epoch_10,10,0.5688,1.4793,0.5482,0.7943,0.8717,0.9411,0.589,0.41100000000000003,0.0,20.65,0.09
gomoku_cnn_epoch_40,40,0.6816,1.2413,0.6503,0.8357,0.8871,0.9463,0.617,0.321,0.062,29.42,0.1249
gomoku_cnn_batch_64,20,0.6267,1.3435,0.5851,0.8113,0.8812,0.9476,0.7509999999999999,0.249,0.0,27.01,0.1069
gomoku_cnn_batch_256,20,0.642,1.2934,0.6096,0.8194,0.8827,0.9441,0.638,0.359,0.003,21.74,0.0769
gomoku_cnn_lr_5e-4,20,0.6157,1.395,0.5812,0.8031,0.8729,0.9459,0.267,0.733,0.0,24.4,0.0839
gomoku_cnn_lr_2e-3,20,0.6362,1.2991,0.6018,0.8203,0.8828,0.945,0.095,0.905,0.0,23.54,0.0826
gomoku_cnn_channel_32,20,0.588,1.5019,0.5524,0.7844,0.8557,0.9356,0.376,0.624,0.0,20.72,0.0608
gomoku_cnn_channel_128,20,0.6252,1.3166,0.5994,0.8119,0.8805,0.9461,0.32299999999999995,0.677,0.0,28.6,0.1725
gomoku_cnn_block_2,20,0.6042,1.4145,0.5821,0.8038,0.8702,0.943,0.624,0.376,0.0,22.31,0.0551
gomoku_cnn_block_10,20,0.6467,1.2224,0.6206,0.835,0.8918,0.9485,0.5,0.5,0.0,20.65,0.0985
